2026-04-21 15:31:47 - TradingBot - INFO - 🚀 GUI запущен
2026-04-21 15:31:51 - TradingBot - INFO - 🎯 Лимит позиций: 1
2026-04-21 15:31:51 - TradingBot - INFO - 🛡️ Watchdog создан, но запуск отложен
2026-04-21 15:31:52 - TradingBot - INFO - ML predictor waiting for data (50 trades)
2026-04-21 15:31:53 - TradingBot - INFO - Асинхронный движок запущен
2026-04-21 15:32:07 - TradingBot - INFO - Starting market scan...
2026-04-21 15:32:12 - TradingBot - INFO - Загружено 612 USDT-фьючерсов
2026-04-21 15:32:32 - TradingBot - WARNING - API retry 1/3 [/openApi/swap/v2/quote/ticker]: 
2026-04-21 15:32:32 - TradingBot - WARNING - API retry 1/3 [/openApi/swap/v2/quote/ticker]: 
2026-04-21 15:32:32 - TradingBot - WARNING - API retry 1/3 [/openApi/swap/v2/quote/ticker]: 
2026-04-21 15:32:32 - TradingBot - WARNING - API retry 1/3 [/openApi/swap/v2/quote/ticker]: 
2026-04-21 15:32:32 - TradingBot - WARNING - API retry 1/3 [/openApi/swap/v2/quote/ticker]: 
2026-04-21 15:32:32 - TradingBot - WARNING - API retry 1/3 [/openApi/swap/v2/quote/ticker]: 
2026-04-21 15:32:32 - TradingBot - WARNING - API retry 1/3 [/openApi/swap/v2/quote/ticker]: 
2026-04-21 15:32:32 - TradingBot - WARNING - API retry 1/3 [/openApi/swap/v2/quote/ticker]: 
2026-04-21 15:32:32 - TradingBot - WARNING - API retry 1/3 [/openApi/swap/v2/quote/ticker]: 
2026-04-21 15:32:32 - TradingBot - WARNING - API retry 1/3 [/openApi/swap/v2/quote/ticker]: 
2026-04-21 15:32:32 - TradingBot - WARNING - API retry 1/3 [/openApi/swap/v2/quote/ticker]: 
2026-04-21 15:32:32 - TradingBot - WARNING - API retry 1/3 [/openApi/swap/v2/quote/ticker]: 
2026-04-21 15:32:32 - TradingBot - WARNING - API retry 1/3 [/openApi/swap/v2/quote/ticker]: 
2026-04-21 15:32:32 - TradingBot - WARNING - API retry 1/3 [/openApi/swap/v2/quote/ticker]: 
2026-04-21 15:32:32 - TradingBot - WARNING - API retry 1/3 [/openApi/swap/v2/quote/ticker]: 
2026-04-21 15:32:32 - TradingBot - WARNING - API retry 1/3 [/openApi/swap/v2/quote/ticker]: 
2026-04-21 15:32:32 - TradingBot - WARNING - API retry 1/3 [/openApi/swap/v2/quote/ticker]: 
2026-04-21 15:32:32 - TradingBot - WARNING - API retry 1/3 [/openApi/swap/v2/quote/ticker]: 
2026-04-21 15:32:32 - TradingBot - WARNING - API retry 1/3 [/openApi/swap/v2/quote/ticker]: 
2026-04-21 15:32:32 - TradingBot - WARNING - API retry 1/3 [/openApi/swap/v2/quote/ticker]: 
2026-04-21 15:32:32 - TradingBot - WARNING - API retry 1/3 [/openApi/swap/v2/quote/ticker]: 
2026-04-21 15:32:32 - TradingBot - WARNING - API retry 1/3 [/openApi/swap/v2/quote/ticker]: 
2026-04-21 15:32:32 - TradingBot - WARNING - API retry 1/3 [/openApi/swap/v2/quote/ticker]: 
2026-04-21 15:32:32 - TradingBot - WARNING - API retry 1/3 [/openApi/swap/v2/quote/ticker]: 
2026-04-21 15:32:32 - TradingBot - WARNING - API retry 1/3 [/openApi/swap/v2/quote/ticker]: 
2026-04-21 15:32:32 - TradingBot - WARNING - API retry 1/3 [/openApi/swap/v2/quote/ticker]: 
2026-04-21 15:32:32 - TradingBot - WARNING - API retry 1/3 [/openApi/swap/v2/quote/ticker]: 
2026-04-21 15:32:32 - TradingBot - WARNING - API retry 1/3 [/openApi/swap/v2/quote/ticker]: 
2026-04-21 15:32:32 - TradingBot - WARNING - API retry 1/3 [/openApi/swap/v2/quote/ticker]: 
2026-04-21 15:32:32 - TradingBot - WARNING - API retry 1/3 [/openApi/swap/v2/quote/ticker]: 
2026-04-21 15:32:32 - TradingBot - WARNING - API retry 1/3 [/openApi/swap/v2/quote/ticker]: 
2026-04-21 15:32:32 - TradingBot - WARNING - API retry 1/3 [/openApi/swap/v2/quote/ticker]: 
2026-04-21 15:32:32 - TradingBot - WARNING - API retry 1/3 [/openApi/swap/v2/quote/ticker]: 
2026-04-21 15:32:32 - TradingBot - WARNING - API retry 1/3 [/openApi/swap/v2/quote/ticker]: 
2026-04-21 15:32:32 - TradingBot - WARNING - API retry 1/3 [/openApi/swap/v2/quote/ticker]: 
2026-04-21 15:32:32 - TradingBot - WARNING - API retry 1/3 [/openApi/swap/v2/quote/ticker]: 
2026-04-21 15:32:32 - TradingBot - WARNING - API retry 1/3 [/openApi/swap/v2/quote/ticker]: 
2026-04-21 15:32:32 - TradingBot - WARNING - API retry 1/3 [/openApi/swap/v2/quote/ticker]: 
