2026-04-23 10:11:22 | INFO     | BotLogger инициализирован
2026-04-23 10:16:03 | INFO     | BotLogger инициализирован
2026-04-23 10:16:03 | INFO     | TradingEngine инициализирован
2026-04-23 10:16:03 | INFO     | Движок инициализирован
2026-04-23 10:16:03 | INFO     | 🚀 GUI запущен
2026-04-23 10:23:05 | INFO     | BotLogger инициализирован
2026-04-23 10:23:05 | INFO     | TradingEngine инициализирован
2026-04-23 10:23:05 | INFO     | Движок инициализирован
2026-04-23 10:23:05 | INFO     | 🚀 GUI запущен
2026-04-23 10:38:25 | INFO     | BotLogger инициализирован
2026-04-23 10:38:26 | INFO     | TradingEngine инициализирован
2026-04-23 10:38:26 | INFO     | Движок инициализирован
2026-04-23 10:38:26 | INFO     | 🚀 GUI запущен
2026-04-23 10:38:34 | INFO     | ⚙️ Конфиг обновлён. max_positions = 2
2026-04-23 11:33:05 | INFO     | BotLogger инициализирован
2026-04-23 11:33:05 | INFO     | 🚀 GUI запущен
2026-04-23 11:33:14 | INFO     | BotLogger инициализирован
2026-04-23 11:33:14 | INFO     | 🚀 GUI запущен
2026-04-23 11:33:22 | INFO     | BotLogger инициализирован
2026-04-23 11:33:22 | INFO     | 🚀 GUI запущен
2026-04-23 14:34:01 | INFO     | BotLogger инициализирован
2026-04-23 14:34:01 | INFO     | 🚀 GUI запущен
2026-04-23 14:34:01 | INFO     | Инициализация компонентов торгового движка...
2026-04-23 14:34:01 | ERROR    | Ошибка инициализации движка: AsyncBingXClient.__init__() got an unexpected keyword argument 'secret_key'
2026-04-23 14:53:06 | INFO     | BotLogger инициализирован
2026-04-23 14:53:07 | INFO     | 🚀 GUI запущен
2026-04-23 14:53:07 | INFO     | Инициализация компонентов торгового движка...
2026-04-23 14:53:07 | ERROR    | Ошибка инициализации движка: AsyncBingXClient.__init__() got an unexpected keyword argument 'secret_key'
2026-04-23 15:40:28 | INFO     | BotLogger инициализирован
2026-04-23 15:40:29 | INFO     | 🚀 GUI запущен
2026-04-23 15:40:29 | INFO     | Инициализация компонентов торгового движка...
2026-04-23 15:40:29 | INFO     | Торговый движок инициализирован
2026-04-23 15:40:29 | INFO     | Торговый движок успешно создан
2026-04-23 15:44:18 | INFO     | BotLogger инициализирован
2026-04-23 15:44:18 | INFO     | 🚀 GUI запущен
2026-04-23 15:44:18 | INFO     | Инициализация компонентов торгового движка...
2026-04-23 15:44:19 | INFO     | Торговый движок инициализирован
2026-04-23 15:44:19 | INFO     | Торговый движок успешно создан
2026-04-23 15:44:19 | INFO     | Движок инициализирован и готов к работе
2026-04-23 15:44:51 | INFO     | Торговый движок запущен
2026-04-23 15:44:51 | INFO     | Основной торговый цикл запущен
2026-04-23 15:44:54 | INFO     | Загружено 0 контрактов USDT
2026-04-23 15:44:54 | WARNING  | Нет доступных символов для сканирования
2026-04-23 15:44:54 | ERROR    | Ошибка вызова UI-колбэка: 'DashboardPage' object has no attribute 'update_signals'
2026-04-23 15:44:54 | ERROR    | Ошибка вызова UI-колбэка: DashboardPage.update_status() missing 5 required positional arguments: 'real_balance', 'pnl', 'pnl_percent', 'mode', and 'positions_count'
2026-04-23 15:45:03 | INFO     | Торговый движок приостановлен
2026-04-23 15:45:04 | INFO     | Остановка торгового движка...
2026-04-23 15:45:09 | INFO     | Загружено 0 контрактов USDT
2026-04-23 15:45:09 | WARNING  | Нет доступных символов для сканирования
2026-04-23 15:45:09 | ERROR    | Ошибка вызова UI-колбэка: 'DashboardPage' object has no attribute 'update_signals'
2026-04-23 15:45:09 | INFO     | Торговый движок остановлен
2026-04-23 15:45:10 | ERROR    | Ошибка вызова UI-колбэка: DashboardPage.update_status() missing 5 required positional arguments: 'real_balance', 'pnl', 'pnl_percent', 'mode', and 'positions_count'
2026-04-23 15:51:16 | INFO     | BotLogger инициализирован
2026-04-23 15:51:17 | INFO     | 🚀 GUI запущен
2026-04-23 15:51:17 | INFO     | Инициализация компонентов торгового движка...
2026-04-23 15:51:17 | INFO     | Торговый движок инициализирован
2026-04-23 15:51:17 | INFO     | Торговый движок успешно создан
2026-04-23 15:51:17 | INFO     | Движок инициализирован и готов к работе
2026-04-23 15:51:24 | INFO     | Торговый движок запущен
2026-04-23 15:51:24 | INFO     | Основной торговый цикл запущен
2026-04-23 15:51:26 | INFO     | Загружено 0 контрактов USDT
2026-04-23 15:51:26 | WARNING  | Нет доступных символов для сканирования
2026-04-23 15:51:46 | INFO     | Остановка торгового движка...
2026-04-23 15:51:47 | INFO     | Торговый движок остановлен
2026-04-23 15:58:54 | INFO     | BotLogger инициализирован
2026-04-23 15:58:54 | INFO     | Инициализация компонентов торгового движка...
2026-04-23 15:58:54 | INFO     | Торговый движок инициализирован
2026-04-23 15:58:54 | INFO     | Торговый движок успешно создан
2026-04-23 15:58:54 | INFO     | Движок инициализирован и готов к работе
2026-04-23 15:59:18 | INFO     | Торговый движок запущен
2026-04-23 15:59:18 | INFO     | Основной торговый цикл запущен
2026-04-23 15:59:22 | INFO     | Загружено 0 контрактов USDT
2026-04-23 15:59:22 | WARNING  | Нет доступных символов для сканирования
2026-04-23 18:42:17 | INFO     | BotLogger инициализирован
2026-04-23 18:45:14 | INFO     | BotLogger инициализирован
2026-04-23 18:45:31 | INFO     | BotLogger инициализирован
2026-04-23 18:51:42 | INFO     | BotLogger инициализирован
